ICAO Code,Classification,Category,Wing Span(m),Length(m),Height(m),MTOW(t),Fuel Capacity(ltr),Maximum Range(Nm),Persons On Board,Take Off Distance(m),Landing Distance(m),Absolute Ceiling(x100ft),Optimum Ceiling(x100ft),Maximum Speed(kts / M),Optimum Speed(kts / M),Maximum Climb Rate(ft / min),List of Manufacturers
HA2,G1P,L/G,-,4,2.4,0.5,65,120,2,200,,,80,90,,1000,['HOLLMANN HA-2 Sportster']
HA31,L1P,L/G,12,9,2.5,2.2,,350,1,,,150,80,100,,750,['HINDUSTAN HA-31 Basant']
HA4T,L2J,M/G,18.8,21,6,16.3,7910,3400,10,1500,713,450,350,484 / .84,0.82,,"['HAWKER BEECHCRAFT 4000 Hawker 4000', 'RAYTHEON 4000 Hawker 4000', 'RAYTHEON 4000 Hawker Horizon']"
HAHU,L1P,L/G,7.6,6,1.8,0.7,,550,1,,,,,190,150,1200,['SINDLINGER HH-1 Hawker Hurricane']
HAR,L1J,M/G,9.2,14.1,3.5,12,2700,500,2,-,,,,/ 0.89,,5000,"['ALENIA AV-8 Harrier', 'BOEING AV-8 Harrier', 'BRITISH AEROSPACE Harrier', 'BRITISH AEROSPACE Sea Harrier', 'CASA EAV-8 Matador', 'HAWKER SIDDELEY AV-8 Harrier', 'HAWKER SIDDELEY TAV-8 Harrier', 'MCDONNELL DOUGLAS TAV-8 Matador', 'MCDONNELL DOUGLAS AV-8 Harrier', 'MCDONNELL DOUGLAS EAV-8 Matador', 'MCDONNELL DOUGLAS TAV-8 Harrier']"
HAW3,G1P,L/G,-,7.3,4,1.3,270,350,,46,15,160,80,139,122,1500,['GROEN H2X Hawk 3']
HAWK,L1J,M/G,9.4,12,4.1,6.1,1630,700,2,1100,1000,500,420,538 / .082,,8000,"['BAE SYSTEMS CT-155 Hawk', 'BAE SYSTEMS Hawk', 'BAE SYSTEMS T-45 Goshawk', 'BAE SYSTEMS AUSTRALIA Hawk', 'BOEING T-45 Goshawk', 'BRITISH AEROSPACE Hawk', 'BRITISH AEROSPACE T-45 Goshawk', 'DENEL Hawk', 'F+W EMMEN Hawk', 'HAWKER SIDDELEY Hawk', 'HINDUSTAN Hawk', 'MCDONNELL DOUGLAS T-45 Goshawk', 'VALMET Hawk']"
HB21,L1P,L/G,16.2,7.9,2.6,0.7,54,350,2,,,,,140,,430,"['BRDITSCHKA HB-21 Hobbylifter', 'BRDITSCHKA HB-21 Hobbyliner']"
HB23,L1P,L/G,16.4,8,2.4,0.7,,,2,,,,,108,89,,"['BRDITSCHKA HB-23 Hobbyliner', 'BRDITSCHKA HB-23 Scanliner', 'HB-AIRCRAFT HB-23 Hobbyliner', 'HB-AIRCRAFT HB-23 Scanliner', 'HB-FLUGTECHNIK HB-23 Hobbyliner', 'HB-FLUGTECHNIK HB-23 Scanliner']"
HB3,L1P,L/G,16.4,8,2.5,,,,1,,,,,95,,,['BRDITSCHKA HB-3']
HCAT,L1P,L/G,13,10.2,4.1,6,950,1130,1,,,360,,330,145,3300,"['GRUMMAN F6F Hellcat', 'GRUMMAN G-50 Hellcat']"
HD34,L2P,M/D,45.3,23.5,,,,1080,39,,,270,,,151,,['HUREL-DUBOIS HD-34']
HDJT,L2J,L/G,12.2,12.5,4.5,4.1,,1100,6,800,700,410,330,420,389,,['HONDA HA-420 HondaJet']
HEAD,L1P,L/G,8.6,5.1,1.8,,,,1,100,120,140,,91,73,650,"['STEWART (2) JD-1 Headwind', 'STEWART (2) SAC-1 Headwind']"
HERN,L4P,L/G,21.8,14.8,4.7,6.1,,970,14-19,,,210,170,165,160,1000,"['DE HAVILLAND DH-114 Heron', 'HAWKER SIDDELEY DH-114 Heron', 'RILEY Heron']"
HF20,L2J,M/G,14.5,16.6,4.9,9.2,4140,1270,12,1760,810,370,250,485,446,4000,"['HFB HFB-320 Hansa', 'MBB HFB-320 Hansa']"
HI27,L1P,L/G,8.2,6.1,1.8,0.7,,,1,,,250,,165,138,3000,['HIRTH Hi-27 Acrostar']
HIGH,L1P,L/G,9.6,5.8,2.4,0.6,68,,2,180,140,,100,110,90,,['JUST Highlander']
HIND,L1P,L/G,11.3,9,3.2,2.4,,430,2,,,265,,186,,,['HAWKER Hind']
HL2,L1P,L/G,8,6.7,2.5,0.6,,,1,,,140,100,110,80,,['LAMBACH HL-2 Replica']
HLD4,L1P,L/G,8.4,7.3,2.6,0.8,,150,1,,,100,80,,90,,['HALBERSTADT D-4 Replica']
HM38,L1P,L/G,8.1,4.7,1.9,0.6,,130,2,180,,,100,110,,,"['FALCONAR HM-380 Ladybug', 'MIGNET HM-380']"
HN70,L1P,L/G,7.8,5.3,1.5,0.6,,400,2,,,,,100,,1200,['NICOLLIER HN-700 Menestrel 2']
HORN,L1P,L/G,6.1,5.8,1.6,0.5,,550,1,,,200,100,178,160,1500,['WALLERKOWSKI Hornisse']
HORZ,L1P,L/G,7.9,5.9,2.1,0.5,40,200,2,85,100,140,,90,80,900,"['FISHER Horizon', 'FISHER AERO Horizon']"
HPTR,A1P,L/G,10.9,6.9,,0.6,,600,3,,,,,140,100,,['IDEA Hydropteron']
HPZL,L1P,L/G,10.7,7.6,2.8,1.8,,500,1,,,260,130,210,,2600,['HISTORICAL AIRCRAFT PZL P-11C']
HR10,L1P,L/G,9,7.4,,1.2,220,720,4,730,630,160,100,145,130,920,"['ROBIN HR-100 President', 'ROBIN HR-100 Royal', 'ROBIN HR-100 Safari', 'ROBIN HR-100 Tiara']"
HR20,L1P,L/G,8.4,6.6,2.1,0.7,120,580,2,,,130,100,121,110,670,"['ROBIN HR-200', 'ROBIN HR-200 Acrobin', 'ROBIN R-200']"
HRM9,L1P,L/G,15,8.3,,1.1,,,0,,,300,,120,60,,"['ELBIT Hermes 900', 'ELBIT Kochav']"
HRNT,L1P,L/G,9,6.4,2.4,0.6,80,,2,70,260,120,,90,82,1600,['AAK Hornet']
HROC,L1P,L/G,6.6,6.5,1.6,0.9,160,,2,,,,130,200,185,3100,['HARMON (2) Rocket']
HRON,L1P,L/Z,16.6,8.5,,1.1,,,-,,,330,,112,,490,"['IAI Heron', 'IAI Harfang']"
HRYA,L1P,L/G,9.1,6.9,2.1,,,,,,,210,130,138,,,['HISTORICAL AIRCRAFT Ryan Trainer']
HSMT,H1P,L/G,-,6.6,2.5,0.7,91,260,2,,,850,65,105,95,1350,['ROTORSMART HeliSmart']
HT16,L1J,L/G,10.7,10.6,3.6,5,2230,400,2,,,,,375,335,5250,['HINDUSTAN HJT-16 Kiran']
HT2,L1P,L/G,10.7,7.5,2.7,1,120,260,2,,,160,130,112,100,800,['HINDUSTAN HT-2']
HT32,L1P,L/G,9.5,7.7,2.9,1.3,,,2,280,390,190,150,140,,,['HINDUSTAN HPT-32 Deepak']
HT34,L1T,L/G,9.5,8.7,2.8,1.3,,500,2,,,200,150,143,,,['HINDUSTAN HTT-34']
HT36,L1J,L/G,10,11,4.4,4.5,,,2,,,400,,,,,['HINDUSTAN HJT-36 Sitara']
HT40,L1T,L/G,11,10.5,3.4,2.8,450,540,2,,,200,,243,216,,['HINDUSTAN HTT-40']
HU1,L1P,L/G,17,7.6,1.7,1,,480,2,180,,150,100,121,86,780,['SHENYANG SAILPLANE HU-1 Seagull']
HU2,L1P,L/G,14.9,7,2.1,0.8,78,320,3,300,,130,,73,54,470,['SHENYANG SAILPLANE HU-2 Petrel']
