ICAO Code,Classification,Category,Wing Span(m),Length(m),Height(m),MTOW(t),Fuel Capacity(ltr),Maximum Range(Nm),Persons On Board,Take Off Distance(m),Landing Distance(m),Absolute Ceiling(x100ft),Optimum Ceiling(x100ft),Maximum Speed(kts / M),Optimum Speed(kts / M),Maximum Climb Rate(ft / min),List of Manufacturers
SMB2,L1J,M/G,10,14,4.6,,2000,635,1,,,560,,645 / 1.12,,17500,['DASSAULT Super Mystere B2']
SNAD,G1P,L/G,-,4.3,2.7,0.6,55,200,2,50,,100,60,90,70,1350,"['CALUMET 636 Snobird Adventurer', 'SNOBIRD 636 Snobird Adventurer']"
SNAP,L1P,L/G,7,6.3,1.8,0.4,40,,1,150,270,,,156,130,,"['DALLAIR FR-01 Snap', 'DALLAIR FR-100 Snap', 'TECNAM FR-01 Snap', 'TECNAM FR-100 Snap']"
SNGY,L1P,L/G,8.6,6.7,,1,180,1500,2,270,300,240,,260,230,2000,"['CIAC Synergy', 'CIAC T-90 Calima', 'LANCAIR Synergy', 'LANCAIR T-90 Calima']"
SNOS,L1P,L/G,6.1,5.4,1.2,0.3,20,,1,,,,,234,190,3000,['VSR SR-1 Snoshoo']
SNS2,L1P,L/G,6.4,4.6,1.6,0.3,20,,1,60,80,120,,70,,650,['SORRELL SNS-2 Guppy']
SNS7,L1P,L/G,7,6.2,1.8,0.9,150,450,2,120,180,,130,147,139,1500,['SORRELL SNS-7 Hiperbipe']
SNS9,L1P,L/G,7.1,5.5,,0.4,35,260,2,90,,120,80,91,70,600,['SORRELL SNS-9 EXP-2']
SNTA,L1P,L/G,15,6.8,,0.5,,,2,,,,,60,50,400,['AIRSPORT Sonata']
SOK2,L1P,L/G,9.7,7.9,1.8,0.6,,350,1,,,180,130,150,110,900,['SOKO 2']
SOKL,L1P,L/G,10,7.3,,0.8,,,3,,,160,100,120,,550,['MRAZ M-1 Sokol']
SOL1,L4E,L/G,63.4,21.8,6.4,1.6,-,,,,,,,,40,,['SOLAR IMPULSE 1']
SOL2,L4E,L/G,63.4,21.8,6.4,,-,,,,,,,,,,['SOLAR IMPULSE 2']
SOLI,L1P,L/G,12.7,,,0.3,,,1,,,,,50,43,,['RUTAN 77 Solitaire']
SONX,L1P,L/G,6.7,5.6,1.5,0.5,60,100,2,150,120,170,,147,113,1400,['SONEX Sonex']
SORA,L1P,L/,7.5,6.5,,0.6,100,,2,190,250,,,,110,1380,['ACS (1) ACS-100 Sora']
SP20,L1P,L/G,9.2,7.3,1.9,1.2,270,1000,2,620,610,180,100,135,128,950,"['LANSHE SP-26', 'MICCO SP-20', 'MICCO SP-26', 'NEW MEYERS SP-20']"
SP33,L2J,L/G,12.8,14,3.6,3.5,,,10,,920,450,410,415,,3200,['SPECTRUM S-33 Independence']
SP55,L1P,L/G,8,7.4,2.2,0.9,120,410,1,170,,150,100,173,,3540,['TECHNOAVIA SP-55']
SP6E,L1P,L/G,7.9,5.8,2.2,1,100,300,2,,,140,,126,113,1000,['SAUSER P-6E Replica']
SP7,L1P,L/G,11.8,8.1,2.4,2,,870,5,,,240,,223,180,1080,"['SPARTAN 7 Executive', 'SPARTAN UC-71 Executive']"
SP91,L1P,L/G,8.4,7,,1,,700,2,250,,150,100,160,140,3300,['TECHNOAVIA SP-91 Slava']
SP95,L1P,L/G,9,7.2,,1,,800,2,70,150,,100,243,161,4000,['TECHNOAVIA SP-95']
SPA2,L1P,L/G,8,6.4,,,,400,2,,,130,90,,120,,['STARK-TREFETHEN Sport-Aire 2']
SPAR,L1P,L/G,11.9,7.6,2.5,0.8,,460,2,90,,200,130,,100,1000,['III Speed Arrow']
SPC2,L1P,L/G,10.3,5,3,0.8,80,470,2,,,150,100,147,121,,['SPECTER Specter 2']
SPDR,L1P,L/G,9.7,6.7,2,0.8,,600,,,,,,160,,750,['REARWIN 6000 Speedster']
SPEL,L1P,L/G,8.3,7,1.8,0.6,40,300,1,60,90,120,80,121,91,800,['LOEHLE Spitfire Elite']
SPGY,G1P,L/G,-,3.6,2.4,0.5,60,120,2,200,,,,78,65,1000,['AIRCRAFT DESIGNS Sportster Gyro']
SPHA,G1P,L/G,-,4.1,2.9,0.6,80,240,1,100,300,,60,,70,500,"['AMERICAN AUTOGYRO SparrowHawk', 'AMERICAN AUTOGYRO Spinus']"
SPIR,L1P,L/G,8.3,4.9,2.2,0.9,200,1000,2,,,120,100,195,,2000,['QUESTAIR Spirit']
SPIT,L1P,L/G,11.2,9.1,3.4,3,550,500,1,330,660,250,140,351,280,3500,"['SUPERMARINE Seafire', 'SUPERMARINE Spitfire']"
SPOR,L1P,L/G,10,6.1,,0.6,60,340,2,90,,140,100,,74,900,['AMAX Sport 1700']
SPR2,L1P,L/G,9.4,5,2.3,0.6,40,270,2,50,75,140,100,112,95,1100,"['CARLSON Sparrow 2', 'CARLSON Sparrow-ette']"
SPRT,L1P,L/G,8.2,6.1,2.5,0.8,,540,2,,,150,100,,120,720,['PRACTAVIA Sprite']
SPST,L1P,L/G,10.6,6.8,2,0.7,90,450,,85,,140,100,,,,"['G�TAVERKEN GV-38', 'REARWIN 7000 Sportster', 'REARWIN 8500 Sportster', 'REARWIN 9000 Sportster']"
SPUP,L1P,L/G,8.2,5.8,,0.3,53,200,1,,,,,,70,1000,"['AIRDROME AEROPLANES Sopwith Pup Replica', 'SOPWITH Pup', 'SOPWITH Pup Replica']"
SQ2T,L1P,L/G,8.9,5.1,2.2,1.1,150,700,4,600,,250,160,224,195,2200,"['GLASSIC SQ-2000', 'KLS COMPOSITES SQ-2000']"
SQES,L2P,L/G,9.4,5.9,2,0.7,75,130,,60,90,120,80,86,69,1000,"['INNOVATION SkyQuest', 'SLIPSTREAM SkyQuest']"
SR01,L1P,L/G,9.4,6.8,2.4,0.6,140,1200,2,250,280,150,,135,120,1100,['EURODISPLAY SR-01 Magic']
SR20,L1P,L/G,10.8,7.9,2.6,1.3,110,760,4,620,650,175,140,200,156,900,"['CIRRUS SR-20', 'CIRRUS SR-20 SRV', 'CIRRUS T-53']"
SR22,L1P,L/G,11.7,7.9,,1.5,320,700,4,490,,175,130,200,180,1400,['CIRRUS SR-22']
SRAC,L1P,L/G,6.7,6.4,,0.8,110,450,1,,,180,,196,152,900,['SPORT RACER Sport Racer']
SRAI,L1P,L/G,5.7,6.1,1.7,0.6,37,200,2,270,,140,100,152,121,700,"['GREAT PLAINS Sonerai', 'MONNETT Sonerai']"
SRAS,L1P,L/G,8.2,6.4,2.3,0.9,,500,2,,,200,130,150,120,1000,"[""D'APUZZO D-260 Senior Aero Sport"", ""D'APUZZO D-295 Senior Aero Sport"", ""D'APUZZO PJ-260 Senior Aero Sport""]"
SRAY,A1P,L/G,9,6.9,2.3,0.8,150,700,2,130,110,,,97,60,,['DORNIER S-Ray 007']
SREY,A1P,L/G,9.4,6.8,1.9,0.6,69,250,2,150,,100,60,91,73,700,['PROGRESSIVE AERODYNE SeaRey']
SS2,L1R,M/,8.2,18.2,4.5,,,,2+6,,,515,,250,,15500,"['RUTAN 339 Space Ship Two', 'SCALED 339 Space Ship Two']"
SS2P,L1P,L/G,13.5,8.9,2.8,2.7,406,350,1,430,270,150,60,122,108,900,"['AERO COMMANDER S-2 Ag Commander', 'AYRES S-2R-600 Thrush', 'AYRES S-2R-R3S Thrush', 'AYRES S-2R-R1340 Thrush', 'AYRES S-2R-R1820 Bull Thrush', 'NORTH AMERICAN ROCKWELL S-2 Ag Commander', 'NORTH AMERICAN ROCKWELL S-2 Thrush Commander', 'ROCKWELL S-2 Thrush Commander', 'SERV-AERO S-2 Thrush (piston conversions)', 'SNOW S-2', 'THRUSH S-2R-R1340 Trush 400']"
SS2T,L1T,L/G,13.1,10,2.8,2.7,719,660,2,182,152,250,80,138,130,1740,"['AYRES S-2R-G Turbo Thrush', 'AYRES S-2RHG-T34 Turbo Thrush', 'AYRES S-2RHG-T65 Turbo Thrush', 'AYRES S-2R-T11 Turbo Thrush', 'AYRES S-2R-T15 Turbo Thrush', 'AYRES S-2R-T34 Turbo Thrush', 'AYRES S-2R-T41 Turbo Thrush', 'AYRES S-2R-T45 Turbo Thrush', 'AYRES S-2R-T65 Turbo Thrush', 'AYRES V-1 Vigilante', 'MARSH Turbo Thrush', 'SERV-AERO S-2 Thrush (turboprop conversions)', 'TERR-MAR Turbo Sea Thrush', 'THRUSH S-2RHG-T34 Turbo Thrush 510', 'THRUSH S-2RHG-T65 Turbo Thrush 550', 'THRUSH S-2R-T34 Turbo Thrush', 'THRUSH S-2R-T65 Turbo Thrush 550']"
SSAB,L1J,M/G,11.6,15.9,4.9,17.8,4500,1430,1,,,485,,/ 1.30,770,22400,['NORTH AMERICAN F-100 Super Sabre']
SSC,G1P,L/G,-,4.5,2.5,0.5,28,,1,,,,,70,,,['BUTTERFLY Super Sky Cycle']
SSTM,A1P,L/G,10.1,7.4,1.8,1.2,200,400,4,130,210,140,80,143,125,1200,['SG AVIATION Sea Storm']
ST1,L2P,L/G,7.9,7,2,1.1,363,950,,160,100,120,,187,174,930,"['PHILLIPS ST-1 Speedtwin', 'SPEEDTWIN E2E Speedtwin']"
ST10,L1P,L/G,9.7,7.2,2.8,1.2,,700,3,,,165,120,151,143,1000,"['SOCATA ST-10 Diplomate', 'SOCATA ST-10 Provence', 'SOCATA ST-10 Super Horizon']"
ST3,L1P,L/G,10.6,7.3,2.7,1.2,,540,3,,,,,109,94,1000,['STEARMAN C-3']
ST30,L1P,L/G,7.7,6.6,1.8,0.7,130,,2,,,160,100,217,,4000,"['PANZL S-330', 'STAUDACHER S-300', 'WINGTIP TO WINGTIP S-330']"
ST4,L1P,L/G,11.6,8,3.2,1.7,,560,3,,,180,,137,111,1400,"['STEARMAN 4 Junior Speedmail', 'STEARMAN 4 Senior Speedmail']"
ST6,L1P,L/G,9.7,7.5,2.9,1.2,,430,2,,,170,,117,,1050,"['STEARMAN 6 Cloudboy', 'STEARMAN YPT-9']"
ST60,L1P,L/G,7.7,6.6,1.8,,,,2,,,150,100,,,,['STAUDACHER S-600']
ST75,L1P,L/G,9.8,7.5,2.7,2,,320,,,,110,80,107,,1000,"['BOEING 75 Kaydet', 'BOEING N2S Kaydet', 'BOEING PT-13 Kaydet', 'BOEING PT-17 Kaydet', 'BOEING PT-18 Kaydet', 'BOEING PT-27 Kaydet', 'STEARMAN 75 Kaydet', 'STEARMAN PT-13 Kaydet', 'STEARMAN PT-17 Kaydet']"
ST87,L1P,L/G,7.6,7,2.7,0.7,110,700,2,470,500,130,100,,,800,['STERN ST-87 Europlane']
STAL,L1P,L/G,10.6,7.6,2.9,,680,2000,6,550,270,180,130,220,200,1600,"['AIRCRAFT DESIGNS Stallion', 'AIRCRAFT DESIGNS Super Stallion']"
STAR,L2T,L/G,16.6,14.1,3.9,6.7,4415,1280,8,1350,867,410,350,334,327,3200,"['BEECH 2000 Starship', 'RAYTHEON 2000 Starship']"
STAT,L1T,L/G,10.6,7.6,2.9,2,640,2300,6,550,220,320,,278,250,2000,['AIRCRAFT DESIGNS Turbine Stallion']
STCH,L1P,L/G,10.1,6.2,2.5,0.5,60,356,2,120,,140,100,97,86,1000,['FLY SYNTHESIS Storch']
STFF,L1P,L/G,5.8,5.6,,,,400,2,,,,,215,124,,['STATLER Firefly']
STIL,L1P,L/G,10.2,6.8,,0.7,80,,2,190,175,135,100,,108,780,['TERZI T-9 Stiletto']
STLN,L1T,L/G,12.6,12,2.8,,,380,3,,,250,150,190,140,2200,"['HELIO AU-24 Stallion', 'HELIO HST-550 Stallion']"
STOR,L1P,L/G,10,6.8,2.4,0.6,90,180,2,39,34,150,100,78,70,700,"['SLEPCEV SS-4 Storch', 'STORCH AVIATION SS-4 Storch', 'STORCH AVIATION SS-4 Super Storch']"
STR2,L1P,L/G,15,6.9,,0.4,,,1,,,,,120,,350,['STROJNIK S-2']
STRA,L1P,L/G,11.2,5.1,1.9,0.4,55,,1,100,,130,,120,,550,"['STRIPLIN Lone Ranger', 'STRIPLIN Sky Ranger']"
STRE,L1P,L/G,9,6.7,2.4,0.5,90,750,2,175,300,,,,,1200,['TL ULTRALIGHT Stream']
STRI,L1P,L/G,8,6,3.2,0.8,120,,2,100,,150,,104,87,1000,"['SOPWITH Triplane Replica', 'ST. CROIX Sopwith Triplane']"
STRK,L1J,L/G,11.2,10.2,3.3,5.2,1660,2765,2,,,400,180,450,,5250,"['BAC 167 Strikemaster', 'BRITISH AEROSPACE BAC-167 Strikemaster']"
STRM,L1P,L/G,7.8,6.7,2.1,0.9,120,600,2,270,210,200,130,152,139,1600,"['SG AVIATION Storm', 'STORMAIRCRAFT Storm']"
STST,L1P,L/G,8.5,6.1,1.8,0.4,27,210,2,130,180,150,80,110,94,1400,['CFM SA-2 Star Streak']
SU17,L2J,M/F,8.6,22.5,5,17.2,,480,2,,,635,,1000 / 2.22,,62340,"['SUKHOI Su-17', 'SUKHOI Su-20', 'SUKHOI Su-22']"
SU24,L1J,M/F,13.6,19,5.1,19.6,4000,810,2,900,,490,,1204 / 2.09,550 / .90,45000,['SUKHOI Su-24']
SU25,L2J,M/F,17.2,24.5,6.1,39.7,10385,700,,1300,900,570,,/ 2.18,,25000,"['SUKHOI Su-25', 'SUKHOI Su-25 Scorpion', 'SUKHOI Su-28', 'SUKHOI Su-39']"
SU26,L2J,L/G,14.5,15.3,5.2,19.3,3500,350,1,750,400,328,,470,,11420,['SUKHOI Su-26']
SU27,L1P,M/F,8.2,7.2,2.9,1,,430,,,,130,100,243,,3150,"['HINDUSTAN Su-30', 'SHENYANG J-11', 'SHENYANG J-15', 'SHENYANG J-16', 'SUKHOI J-11', 'SUKHOI JJ-11', 'SUKHOI Su-27', 'SUKHOI Su-30', 'SUKHOI Su-32', 'SUKHOI Su-33', 'SUKHOI Su-34', 'SUKHOI Su-35', 'SUKHOI Su-37']"
SU29,L2J,L/G,14.5,21.94,5.9,28,12100,2000,1,650,700,590,,1350 / 2.35,1.15,64960,['SUKHOI Su-29']
SU31,L1P,L/G,8.2,7.2,2.9,1.2,276,640,2,250,450,130,100,175,,3150,['SUKHOI Su-31']
SU38,L1P,L/G,7.8,6.9,2.7,0.9,210,640,1,250,450,130,100,178,,4730,['SUKHOI Su-38']
SU57,L1P,M/Z,11.5,8.1,2.6,1.2,210,650,1,,,100,60,161,118,,"['SUKHOI T-50', 'SUKHOI Su-57']"
SU7,L1J,M/G,9.3,17,5,13.9,2350,770,1,,,530,,1117 / 1.6,372,30000,['SUKHOI Su-7']
SU80,L2T,M/G,23.2,16.6,5.4,12.5,2400,1600,19-26,1400,640,290,250,253,288,,['SUKHOI Su-80']
SU95,L2J,M/E,27.8,29.8,10.3,102,,2400,98,1800,,400,360,.81,.78,,['SUKHOI Superjet 100-95']
SUBA,L1P,L/G,9.4,8.1,2.5,1.1,,750,4,,,120,80,,106,700,['FUJI FA-200 Aero Subaru']
SUCO,H2T,M/G,-,17.6,3.2,6.7,1100,340,2,,,140,80,152,,800,"['BELL 209 SuperCobra', 'BELL 449 SuperCobra', 'BELL AH-1W SuperCobra', 'BELL AH-1Z SuperCobra', 'PANHA 2091']"
SUNB,L1P,L/G,10.9,7.2,2.5,0.6,50,400,2,,,130,100,111,,670,['VERILITE 100 Sunbird']
SUNV,L1P,L/G,15.4,11.1,2.8,2.5,500,600,8,,,180,130,,105,950,['FOKKER Super Universal']
SURN,H2T,M/G,-,15.1,4.5,8.7,,260,18,,,100,,,140,1700,['KOREA AEROSPACE Surion']
SURU,L1P,L/G,7.7,6.9,2.1,0.7,120,370,1,,,,,184,,,['IPT IPT-16 Surubim']
SUSO,L1P,L/G,9.9,6,2.2,0.4,37,,2,30,45,130,80,58,43,500,['VSTOL SS-2000 Super Solution']
SV4,L1P,L/G,8.4,6.8,2.7,0.8,,260,2,,,165,130,110,,900,"['AIAA SV-4', 'NORD SV-4', 'STAMPE SV-4']"
SVNH,L1P,L/G,9,6.1,2.1,0.5,80,430,2,100,135,140,,86,76,1770,"['AEROTEC (2) MXP-740 Savannah', 'AGRO-COPTEROS MXP-740 Savannah', 'ICP MXP-740 Savannah']"
SW18,L1P,L/G,10.7,6.8,2,0.6,90,,,220,140,,,,,,['SKYWOOD SW-18 Teddy']
SW2,L2T,L/G,13.9,12.2,4.3,4.5,2400,1550,6,850,880,270,240,303,255,2350,['SWEARINGEN SA-26 Merlin 2']
SW3,L2T,L/G,14.1,12.8,4.9,5.6,1970,1930,8,980,1000,290,250,299,264,2360,"['FAIRCHILD (1) SA-227TT Fairchild 300', 'FAIRCHILD (1) SA-227TT Merlin 3', 'FAIRCHILD SWEARINGEN SA-226TB Merlin 3', 'FAIRCHILD SWEARINGEN SA-227TT Fairchild 300', 'FAIRCHILD SWEARINGEN SA-227TT Merlin 3', 'SWEARINGEN SA-226T Merlin 3', 'SWEARINGEN SA-226TB Merlin 3']"
SW4,L2T,L-M/G,18.1,17.3,5,6.5,2400,2300,12,870,770,300,270,282,260,,"['FAIRCHILD (1) C-26 Metro', 'FAIRCHILD (1) RC-26 Metro', 'FAIRCHILD (1) SA-227AC Metro', 'FAIRCHILD (1) SA-227AT Expediter', 'FAIRCHILD (1) SA-227AT Merlin 4', 'FAIRCHILD (1) SA-227BC Metro', 'FAIRCHILD (1) SA-227CC Metro', 'FAIRCHILD (1) SA-227DC Expediter', 'FAIRCHILD (1) SA-227DC Metro', 'FAIRCHILD (1) SA-227PC Metro', 'FAIRCHILD (1) UC-26 Merlin 4', 'FAIRCHILD DORNIER SA-227DC Metro', 'FAIRCHILD SWEARINGEN SA-226TC Metro', 'FAIRCHILD SWEARINGEN SA-227AC Metro', 'FAIRCHILD SWEARINGEN SA-227AT Expediter', 'FAIRCHILD SWEARINGEN SA-227AT Merlin 4', 'FAIRCHILD SWEARINGEN SA-227PC Metro', 'SWEARINGEN SA-226AT Merlin 4', 'SWEARINGEN SA-226TC Metro']"
SWAK,L1P,L/G,7.9,6.2,1.6,0.7,75,260,2,150,180,120,80,117,104,1200,"['ANGLIN Space Walker 1', 'ANGLIN Space Walker 2', 'WARNER (2) Revolution 1', 'WARNER (2) Revolution 2', 'WARNER (2) Sportster']"
SWAT,L1P,L/G,9.2,7.2,2.8,0.8,,270,2,300,,,,104,100,600,"['BHARAT LT-1 Swati', 'BHARAT LT-2 Swati']"
SWIF,L1J,M/G,10.6,13.3,4.1,9.7,,750,1,,,420,,608 / .94,,,['SUPERMARINE Swift']
SWIN,L1P,L/G,10.2,6.3,2.4,0.5,75,500,2,70,140,130,100,108,97,1370,['S-WING S-Wing']
SWOR,L1P,L/G,13.8,10.8,3.7,3.4,,850,2,,,110,80,,120,,"['BLACKBURN Swordfish', 'FAIREY Swordfish']"
SX30,L1P,L/G,7.4,6.4,2.2,1,250,900,2,,,130,80,,230,2400,['SWEARINGEN SX-300']
SYCA,H1P,L/G,-,14,3.7,2.5,,,5,,,,60,110,79,1300,['BRISTOL 171 Sycamore']
SYMP,L1P,L/G,10.6,6.9,2.8,1,123,520,2,350,450,165,100,162,128,850,"['OMF OMF-100 Symphony', 'SYMPHONY SA-160 Symphony']"
SYNC,L1P,L/G,10.4,6.7,2.2,0.5,,,2,,,,,125,100,,['FLY SYNTHESIS Syncro']
SZ45,L1P,L/G,17.5,7.9,,0.7,,,2,,,,,121,51,,['SZD SZD-45 Ogar']
SZ9M,L1P,L/G,18.1,7.9,1.3,0.5,,,2,,,,,,,,"['SZD SZD-9bis Bocian M-2000', 'YALO SZD-9bis Bocian M-2000']"
T1,L1J,L/G,10.4,12.1,4,5,2300,1000,2,,,480,,500,,,"['FUJI T-1', 'FUJI T1F']"
T10,L1P,L/G,9.1,6.3,2.2,0.6,85,380,2,,,100,,,81,1200,['TMM-AVIA T-10 Avia-Tor']
T101,L1T,L/G,18.2,15,4.8,5.2,1200,300,11,350,200,130,100,161,134,,['AEROPROGRESS T-101 Grach']
T134,L2J,M/E,29,37.1,9.14,47,18000,1020,72-84,2180,2050,390,350,485,440 / .61,2000,['TUPOLEV Tu-134']
T154,L3J,M/D,37.5,48,11.4,100,47000,2000,158-180,2100,2060,430,350,514,485 / .73,3000,['TUPOLEV Tu-154']
T160,L4J,H/B,55.7,54.1,13.1,275,171000,6600,4,2200,1600,490,450,1200 / 2.05,518 / 0.9,13780,['TUPOLEV Tu-160']
T18,L1P,L/G,6.3,5.7,1.5,0.7,110,500,2,300,550,180,100,182,174,1500,"['CLASSIC SPORT S-18', 'SUNDERLAND S-18', 'THORP T-18 Tiger']"
T19,L1P,L/G,,,,,,,2,120,,,,,,,"['THK T-19 T�rkku�u', 'THK T-19 Speedfire']"
T2,L2J,L/G,11.6,11.7,4.5,5.9,,930,2,,,360,,460,361,5700,"['NORTH AMERICAN T-2 Buckeye', 'NORTH AMERICAN ROCKWELL T-2 Buckeye', 'ROCKWELL T-2 Buckeye']"
T204,L2J,M/D,41.8,46.1,13.9,103,40730,3300,110-219,2050,2000,410,390,,458,2500,"['TUPOLEV Tu-204', 'TUPOLEV Tu-214', 'TUPOLEV Tu-224', 'TUPOLEV Tu-234']"
T206,L1P,L/G,11,9.2,3.1,1.6,330,,6,500,600,200,,185,146,,"['CESSNA T206 Turbo Stationair', 'CESSNA T206 Stationair TC', 'CESSNA TP206 Turbo Super Skylane', 'CESSNA TU206 Turbo Super Skywagon', 'CESSNA TU206 Turbo Skywagon 206', 'CESSNA TU206 Turbo Stationair', 'CESSNA TU206 Turbo Stationair 6']"
T210,L1P,L/G,11.2,8.6,2.9,1.8,,900,6,,,270,,204,193,930,['CESSNA T210 Turbo Centurion']
T211,L1P,L/G,7.6,5.5,1.9,0.6,80,400,2,140,150,125,,,85,750,"['AD AEROSPACE T-211', 'ADAMS T-211', 'DM AEROSPACE T-211', 'INDUS T-11 Sky Skooter', 'INDUS T-211 Sport E', 'INDUS T-211 Thorpedo', 'STARPAC Phoenix Flyer', 'TANEJA T-211', 'THORP T-211', 'VENTURE T-211']"
T22M,L2J,M/D,34.2,42.4,11,124,,3800,,2100,1300,440,,1080 / 1.88,567 / .86,6000,['TUPOLEV Tu-22M']
T250,L1P,L/G,9.5,7.9,2.6,1.4,270,,4,,,180,120,450,350,1250,"['ANDERSON-GREENWOOD T-250 Aries', 'ANDERSON-GREENWOOD 51', 'BELLANCA T-250 Aries', 'BELLANCA 51']"
T28,L1P,L/G,12.2,10,3.8,7,,2370,2,,,370,,343,310,2500,"['HAMILTON T-28 Nomair', 'NORTH AMERICAN AT-28 Trojan', 'NORTH AMERICAN T-28 Trojan', 'PACAERO T-28 Nomad', 'PACIFIC AIRMOTIVE T-28 Nomad', 'SUD T-28 Fennec']"
T30,L1P,L/G,7.7,,,0.9,245,400,1,,,,,200,,4000,['TERZI T-30 Katana']
T33,L1J,M/G,12.9,11.5,3.6,6.5,,1150,2,,,470,,475,388,2000,"['CANADAIR CL-30 Silver Star', 'CANADAIR CT-133 Silver Star', 'CANADAIR T-33 Silver Star', 'KAWASAKI T-33', 'LOCKHEED AT-33', 'LOCKHEED L-580 Shooting Star', 'LOCKHEED L-580 T-Bird', 'LOCKHEED NT-33', 'LOCKHEED RT-33', 'LOCKHEED T-33 Shooting Star', 'LOCKHEED T-33 T-Bird']"
T334,L2J,M/E,29.7,31.2,9.3,54.4,10000,1680,102-126,2200,,,350,,442 / .76,,['TUPOLEV Tu-334']
T34P,L1P,L/G,10,7.9,2.9,2,420,860,,200,,250,,240,,1500,"['BEECH 45 Mentor', 'BEECH T-34A Mentor', 'BEECH T-34B Mentor', 'CCF T-34 Mentor', 'DINFIA T-34 Mentor', 'FUJI KM-2B Mentor', 'FUJI T-3 Mentor', 'FUJI T-34 Mentor']"
T34T,L1T,L/G,10.3,8.7,2.9,1.9,490,700,2,,,300,,257,246,1100,"['BEECH T-34C Turbo Mentor', 'FUJI T-3Kai']"
T35,L1P,L/G,8.8,6.4,1.8,0.8,120,540,2,,,175,130,155,141,1000,"['TEMCO T-35 Buckaroo', 'TEMCO TE-1 Buckaroo']"
T37,L2J,L/G,10.2,8.9,2.8,2.9,1110,400,2,760,880,390,250,325,295,3000,"['CESSNA 318A', 'CESSNA 318B', 'CESSNA 318C', 'CESSNA T-37']"
T38,L2J,L/G,7.7,14.1,3.7,5.3,,980,2,800,1000,530,,705 / 1.22,502,8000,"['NORTHROP AT-38 Talon', 'NORTHROP N-156T Talon', 'NORTHROP T-38 Talon']"
T4,L2J,M/G,9.9,12.2,4.5,7.5,2240,900,2,550,670,510,,560,475,9850,['KAWASAKI T-4']
T40,L1P,L/G,6.8,6,1.6,0.5,70,400,1,180,120,125,80,148,126,1100,['TURNER T-40']
T411,L1P,L/G,13,9.4,2.6,1.6,340,650,6,210,330,100,80,151,110,1460,"['AEROPROGRESS T-411 Aist-2', 'KHRUNICHEV T-411 Aist', 'KHRUNICHEV T-411 Wolverine']"
T415,L1P,L/G,12.9,8.8,2.7,1.7,300,840,6,220,,250,,124,110,,['KHRUNICHEV T-415 Snegir']
T419,L1P,L/G,13.2,8.5,,1.7,280,594,1,250,,,,,97,,['KHRUNICHEV AT-419 Strekoza']
T5,L1T,L/G,10,8.4,2.7,1.8,640,510,4,430,520,250,,223,192,1700,"['FUJI KM-2D', 'FUJI KM-2Kai', 'FUJI T-5']"
T50,L2P,L/G,12.8,9.9,3,2.6,440,600,5,420,,220,90,169,152,,"['CESSNA AT-8 Bobcat', 'CESSNA AT-17 Bobcat', 'CESSNA Crane', 'CESSNA T-50 Bobcat', 'CESSNA UC-78 Bobcat']"
T51,L1P,L/G,7.3,7.1,2.8,0.6,87,620,2,100,,160,,150,130,1200,['TITAN T-51 Mustang']
T6,L1P,L/G,12.8,8.9,3.5,2.4,,590,2,,,225,130,176,140,800,"['CCF T-6 Harvard', 'NOORDUYN AT-16 Harvard', 'NORTH AMERICAN AT-6 Texan', 'NORTH AMERICAN BC-1', 'NORTH AMERICAN SNJ Texan', 'NORTH AMERICAN T-6 Texan', 'NORTH AMERICAN T-6 Harvard']"
T7,L1T,L/G,10,8.6,2.9,1.6,375,,2,610,560,250,,203,161,,['FUJI T-7']
TA15,L1P,L/G,10.9,6.7,2,,,,4,,,170,120,96,83,800,"['TAYLORCRAFT (1) 15 Foursome', 'TAYLORCRAFT (1) 15 Tourist']"
TA16,A1P,L/G,11.2,8.2,3.2,1.4,340,950,4,220,180,,100,152,145,1060,"['THURSTON TA-16 Seafire', 'THURSTON TA-16 Trojan']"
TA20,L1P,L/G,11.7,7.4,,,,600,4,,,140,100,,150,1000,"['TAYLORCRAFT (1) 20 Ranchwagon', 'TAYLORCRAFT (1) 20 Seabird', 'TAYLORCRAFT (1) 20 Topper', 'TAYLORCRAFT (1) 20 Zephyr 400']"
TAA1,L1P,L/G,,,,,,,4,,,,,,,,"['SCALED TAA-1', 'TOYOTA TAA-1']"
TAGO,L1P,L/G,7.6,6.3,2.2,0.8,150,800,2,180,240,,130,190,174,3000,['TEAM TANGO Tango-2']
TAIL,L1P,L/G,7.3,6,1.6,0.7,133,600,2,228,198,200,120,173,156,1200,"['AIRCRAFT SPRUCE W-10 Tailwind', 'AJEP W-8 Tailwind', 'WITTMAN W-8 Tailwind', 'WITTMAN W-9 Tailwind', 'WITTMAN W-10 Tailwind']"
TAMP,L1P,L/G,9.7,7.7,3,1,150,590,4,340,420,200,130,157,106,600,['SOCATA TB-9 Tampico']
TARO,L1P,L/G,11.5,8.2,2.3,2,,220,1,,,190,80,110,74,850,['ANAHUAC Tauro']
TARR,L1P,L/G,7.9,7.5,2.5,0.6,85,700,2,275,,,,124,,1400,['PELEGRIN Tarragon']
TAYA,L1P,L/G,11,6.7,,,,200,2,,,,,80,70,,"['TAYLORCRAFT (1) A', 'TAYLOR-YOUNG A']"
