squawk,function
0538,Assigned by CCAMS
0539,Assigned by CCAMS
0540,Assigned by CCAMS
0541,Assigned by CCAMS
0542,Assigned by CCAMS
0543,Assigned by CCAMS
0544,Assigned by CCAMS
0545,Assigned by CCAMS
0546,Assigned by CCAMS
0547,Assigned by CCAMS
0548,Assigned by CCAMS
0549,Assigned by CCAMS
0550,Assigned by CCAMS
0551,Assigned by CCAMS
0552,Assigned by CCAMS
0553,Assigned by CCAMS
0554,Assigned by CCAMS
0555,Assigned by CCAMS
0556,Assigned by CCAMS
0557,Assigned by CCAMS
0558,Assigned by CCAMS
0559,Assigned by CCAMS
0560,Assigned by CCAMS
0561,Assigned by CCAMS
0562,Assigned by CCAMS
0563,Assigned by CCAMS
0564,Assigned by CCAMS
0565,Assigned by CCAMS
0566,Assigned by CCAMS
0567,Assigned by CCAMS
0568,Assigned by CCAMS
0569,Assigned by CCAMS
0570,Assigned by CCAMS
0571,Assigned by CCAMS
0572,Assigned by CCAMS
0573,Assigned by CCAMS
0574,Assigned by CCAMS
0575,Assigned by CCAMS
0576,Assigned by CCAMS
0577,Assigned by CCAMS
0600,HQ Air Command (See note 15)
0601,Transit (ORCAM) Germany
0602,Transit (ORCAM) Germany
0603,Transit (ORCAM) Germany
0604,Transit (ORCAM) Germany
0605,Transit (ORCAM) Germany
0606,Transit (ORCAM) Germany
0607,Transit (ORCAM) Germany
0608,Transit (ORCAM) Germany
0609,Transit (ORCAM) Germany
0610,Transit (ORCAM) Germany
0611,Transit (ORCAM) Germany
0612,Transit (ORCAM) Germany
0613,Transit (ORCAM) Germany
0614,Transit (ORCAM) Germany
0615,Transit (ORCAM) Germany
0616,Transit (ORCAM) Germany
0617,Transit (ORCAM) Germany
0618,Transit (ORCAM) Germany
0619,Transit (ORCAM) Germany
0620,Transit (ORCAM) Germany
0621,Transit (ORCAM) Germany
0622,Transit (ORCAM) Germany
0623,Transit (ORCAM) Germany
0624,Transit (ORCAM) Germany
0625,Transit (ORCAM) Germany
0626,Transit (ORCAM) Germany
0627,Transit (ORCAM) Germany
0628,Transit (ORCAM) Germany
0629,Transit (ORCAM) Germany
0630,Transit (ORCAM) Germany
0631,Transit (ORCAM) Germany
0632,Transit (ORCAM) Germany
0633,Transit (ORCAM) Germany
0634,Transit (ORCAM) Germany
0635,Transit (ORCAM) Germany
0636,Transit (ORCAM) Germany
0637,Transit (ORCAM) Germany
0640,Transit (ORCAM) Paris
0641,Transit (ORCAM) Paris
0642,Transit (ORCAM) Paris
0643,Transit (ORCAM) Paris
0644,Transit (ORCAM) Paris
0645,Transit (ORCAM) Paris
0646,Transit (ORCAM) Paris
0647,Transit (ORCAM) Paris
0648,Transit (ORCAM) Paris
0649,Transit (ORCAM) Paris
0650,Transit (ORCAM) Paris
0651,Transit (ORCAM) Paris
0652,Transit (ORCAM) Paris
0653,Transit (ORCAM) Paris
0654,Transit (ORCAM) Paris
0655,Transit (ORCAM) Paris
0656,Transit (ORCAM) Paris
0657,Transit (ORCAM) Paris
0658,Transit (ORCAM) Paris
0659,Transit (ORCAM) Paris
0660,Transit (ORCAM) Paris
0661,Transit (ORCAM) Paris
0662,Transit (ORCAM) Paris
0663,Transit (ORCAM) Paris
0664,Transit (ORCAM) Paris
0665,Transit (ORCAM) Paris
0666,Transit (ORCAM) Paris
0667,Transit (ORCAM) Paris
0668,Transit (ORCAM) Paris
0669,Transit (ORCAM) Paris
0670,Transit (ORCAM) Paris
0671,Transit (ORCAM) Paris
0672,Transit (ORCAM) Paris
0673,Transit (ORCAM) Paris
0674,Transit (ORCAM) Paris
0675,Transit (ORCAM) Paris
0676,Transit (ORCAM) Paris
0677,Transit (ORCAM) Paris
0700,HQ Air Command (See note 15)
0701,Transit (ORCAM) Maastricht
0702,Transit (ORCAM) Maastricht
0703,Transit (ORCAM) Maastricht
0704,Transit (ORCAM) Maastricht
0705,Transit (ORCAM) Maastricht
0706,Transit (ORCAM) Maastricht
0707,Transit (ORCAM) Maastricht
0708,Transit (ORCAM) Maastricht
0709,Transit (ORCAM) Maastricht
0710,Transit (ORCAM) Maastricht
0711,Transit (ORCAM) Maastricht
